"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"GNRHR2",359.682624480337,1.43886603953752,0.191310494125678,5.43158011470041e-14,1.01864368905831e-13,"OK"
"PEX11B",2363.50685956335,1.12606248611583,0.0608218652457287,1.58911617508028e-76,6.78586255032475e-76,"OK"
"ITGA10",442.465208309374,1.26745859608768,0.162527010240244,6.26726853404221e-15,1.20334539298547e-14,"OK"
"ANKRD35",555.057021327358,4.04603682594499,0.165646717586283,9.12260834438613e-132,5.79659614349519e-131,"OK"
"PIAS3",3746.36633811155,-0.250570664528546,0.0652291521027547,0.000122339161443679,0.000165496844129962,"OK"
"NUDT17",260.981319522441,0.560221565227644,0.267196173995057,0.0360230091086093,0.0421368535888801,"OK"
"POLR3C",1981.47286851341,-0.823171860412321,0.0657737779113388,6.16538666760761e-36,1.71769414741024e-35,"OK"
"RNF115",1582.16544668844,0.104120166832141,0.101444787276353,0.304715910393656,0.328063168026948,"OK"
"CD160",5.22020149100971,-0.23239332586331,0.895861159078438,0.795320652181832,NaN,"Low"
"PDZK1",504.85284425634,1.29938773334359,0.170428829421985,2.45504929588759e-14,4.64298378667061e-14,"OK"
"GPR89A",359.053000292875,-0.543620806255396,0.177584874967575,0.00220460132428631,0.00279478697518726,"OK"
"GPR89C",0,NaN,NaN,NaN,NaN,"Low"
"PDZK1P1",11.8104808856584,3.693699931472,1.0682895153944,0.000545043818945178,0.000714024703242052,"OK"
"NBPF11",0,NaN,NaN,NaN,NaN,"Low"
"NBPF24",6.90428514579959,-0.602775851077322,0.841141721513955,0.473610896654965,NaN,"Low"
"HYDIN2",4.99355170438777,3.41744578424282,1.15744322698325,0.00315128584744939,NaN,"Low"
"LOC728989",48.4513019597729,1.94544724704155,0.375643826903319,2.23117090173736e-07,3.40879734789367e-07,"OK"
"PRKAB2",4228.82407070733,0.225440819868168,0.084489422592837,0.00762423472310425,0.00935467185474239,"OK"
"PDIA3P",353.578619816286,-0.62829108574288,0.134393653668972,2.93945574601846e-06,4.27952685747855e-06,"OK"
"FMO5",630.175890709,-2.69942419359513,0.178491281586094,1.13245265784242e-51,3.83177069947177e-51,"OK"
"CHD1L",4937.79356744582,-1.16724437699847,0.0581413273693665,1.19688025465352e-89,5.69770222085193e-89,"OK"
"LINC00624",8.2497259743264,-1.57930169338373,0.787842439437261,0.0450068126916475,NaN,"Low"
"BCL9",3383.19805390762,-0.118705343176334,0.063823539478838,0.0628998037305845,0.0722372883457376,"OK"
